ticker,p,d,q
A1EG34,1,1,1
A1EP34,1,1,1
A1IV34,1,1,2
A1LB34,1,1,1
A1LG34,1,1,1
A1LL34,1,1,1
A1MD34,1,1,2
A1ME34,1,1,1
A1MT34,1,1,1
A1RE34,1,1,1
A1TH34,2,1,1
A1ZN34,1,1,2
A2RR34,1,1,1
AALR3,1,1,2
AAPL34,1,1,1
ABBV34,1,1,2
ABCB4,2,1,1
ABCP11,2,1,2
ABEV3,1,1,2
ABTT34,1,1,1
ABUD34,1,1,1
ADBE34,1,1,1
ADPR34,1,1,2
AEDU3,1,1,2
AERI3,2,1,2
AESB3,1,1,1
AFHI11,1,1,1
AFLT3,1,1,2
AGRI11,1,1,1
AGRO3,1,1,1
AGXY3,1,1,1
AHEB3,2,1,2
AIEC11,1,1,1
AIRB34,1,1,1
ALLD3,3,1,2
ALPA3,2,1,1
ALPA4,4,1,2
ALPK3,1,1,1
ALSO3,2,1,1
ALUP3,2,1,2
ALUP4,1,1,1
ALUP11,1,1,1
ALZR11,1,1,2
AMAR3,2,1,1
AMER3,2,1,2
AMGN34,1,1,1
AMZO34,1,1,1
ANIM3,1,1,1
APTO11,1,1,1
ARML3,1,1,1
ARMT34,1,1,2
ARRI11,1,1,2
ARXD11,1,1,1
ARZZ3,1,1,1
ASAI3,1,1,1
ASML34,1,1,1
ASMT11,1,1,1
ATMP3,2,1,2
ATOM3,3,1,3
ATTB34,1,1,1
AURA33,1,1,1
AURE3,1,1,1
AVGO34,1,1,1
AVLL3,1,1,1
AXPB34,2,1,2
AZEV4,1,1,2
AZOI34,1,1,1
AZUL4,3,1,1
AZZA3,1,1,1
B1CS34,1,1,1
B1IL34,1,1,1
B1NT34,1,1,1
B1PP34,1,1,1
B1SX34,1,1,1
B1TI34,1,1,2
B2YN34,1,1,1
B3SA3,1,1,1
B5MB11,1,1,1
B5P211,1,1,1
BABA34,1,1,1
BAHI3,1,1,3
BALM3,1,1,1
BARI11,2,1,2
BAZA3,1,1,2
BBAS3,1,1,2
BBDC3,1,1,1
BBDC4,1,1,1
BBOV11,1,1,1
BBRC11,1,1,2
BBSE3,1,1,1
BCIA11,1,1,1
BCRI11,2,1,2
BCSA34,1,1,2
BEEF3,1,1,2
BEES3,2,1,1
BEES4,1,1,1
BERK34,2,1,2
BGIP4,1,1,1
BHIA3,2,1,1
BICR11,1,1,1
BIDB11,1,1,1
BIDI4,1,1,1
BIDI11,1,1,1
BIDU34,1,1,2
BIIB34,1,1,1
BILB34,2,1,2
BIME11,2,1,1
BIOM3,1,1,2
BISA3,1,1,1
BITH11,1,1,1
BKNG34,2,1,1
BLAK34,2,1,1
BLAU3,1,1,1
BLCA11,1,1,1
BLMG11,1,1,2
BLOK11,1,1,1
BMEB3,1,1,2
BMEB4,1,1,1
BMGB4,2,1,1
BMKS3,1,1,2
BMLC11,1,1,2
BMOB3,1,1,1
BNFS11,1,1,1
BOAC34,1,1,2
BOBR4,1,1,2
BODB11,2,1,1
BOEI34,1,1,2
BONY34,1,1,2
BOVB11,2,1,1
BOVS11,1,1,1
BOVX11,1,1,1
BOXP34,1,1,2
BPAC3,1,1,1
BPAC5,1,1,2
BPAC11,1,1,2
BPAN4,3,1,2
BPFF11,1,1,2
BPML11,1,1,1
BPRP11,1,1,1
BRAP3,2,1,1
BRAP4,1,1,2
BRAX11,2,1,1
BRBI11,1,1,2
BRCO11,2,1,2
BRCR11,2,1,1
BRDT3,1,1,2
BRFS3,2,1,3
BRIP11,1,1,1
BRKM5,2,1,2
BRML3,2,1,3
BROF11,1,1,2
BRPR3,1,1,1
BRSR3,1,1,1
BRSR5,2,1,2
BRSR6,2,1,2
BSLI4,2,1,1
BTAG11,1,1,1
BTAL11,1,1,1
BTCI11,3,1,2
BTEK11,2,1,1
BTLG11,1,1,2
BTOW3,3,1,3
BVMF3,2,1,3
C1BL34,1,1,1
C1CL34,2,1,1
C1MG34,1,1,2
C2AC34,1,1,2
C2HP34,1,1,1
C2OI34,2,1,1
C2RS34,1,1,2
C2RW34,1,1,1
CAMB3,2,1,4
CAML3,2,1,2
CAON34,1,1,2
CARE11,2,1,3
CASH3,2,1,2
CATP34,1,1,2
CBAV3,1,1,1
CBOP11,1,1,2
CCME11,1,1,1
CCRO3,1,1,2
CEAB3,2,1,1
CEBR3,1,1,2
CEBR5,2,1,1
CEBR6,2,1,1
CEDO4,1,1,2
CEEB3,2,1,2
CEEB5,1,1,2
CEOC11,2,1,1
CESP6,1,1,2
CGAS5,3,1,3
CGRA3,1,1,2
CGRA4,1,1,2
CHCM34,1,1,1
CHVX34,2,1,2
CIEL3,1,1,2
CLOV34,1,1,2
CLSA3,2,1,1
CLSC4,1,1,2
CMCS34,1,1,1
CMIG3,3,1,2
CMIG4,1,1,1
CMIN3,2,1,1
CNES11,1,1,1
CNIC34,2,1,1
COCA34,1,1,2
COCE3,2,1,3
COCE5,2,1,2
COGN3,1,1,2
COLG34,1,1,2
